# Known non-source-fixable comparison caps.
#
# One row per retail function whose residual diff a cap in codegen-caps.md
# explains. A row means the reconstruction is already correct and the remaining
# percentage is a toolchain artifact. `tools/decomp candidates` sinks these, so
# no later session offers them again as fresh work.
#
# Add a row only after you have tested at least two credible source forms and
# the diff did not move. Cite the cap ID from codegen-index.md.
#
# address	cap-id	score	date	note
0x004A3980	CAP-14	30.18	2026-07-26	table-loaded pointer stays in EAX, retail moves it to ECX
0x004C4E00	CAP-09	21.74	2026-07-28	untextured additive/saturating 555 span: retail keeps an EBP frame with zero locals and spills the three colour accumulators plus the counter into the incoming parameter slots, and holds the pixel on the stack via PUSH/POP EAX; the build compiles FPO and register-keeps them. Per-pixel AND 0x1f / ADD / CMP 0x20 / JL / MOV 0x1f core matches instruction for instruction. 3 forms tested; the >=0x20 clamp and the dword destination read were both transcribed from retail and each gained
0x004C4F30	CAP-09	23.48	2026-07-28	565 twin of 0x004C4E00, same whole-frame divergence and same matching per-pixel core
0x004C48E0	CAP-09	9.29	2026-07-28	untextured opaque 555 paired-pixel span: retail uses an EBP frame with two locals, homes the pair counter and three colour accumulators in incoming parameter slots, and duplicates the packed word with PUSH AX / SHL EAX,16 / POP AX; the build compiles FPO and register-keeps the walk. Endpoint swap, width/2 interpolation, odd leading/trailing pixels, masks/shifts, paired dword store, and update order agree. 3 packing forms tested with identical score
0x004C4A60	CAP-09	7.86	2026-07-28	565 twin of 0x004C48E0, same whole-frame divergence and paired-pixel algorithm; only green/red packing shifts differ
0x004C5D80	CAP-20	41.30	2026-07-27	untextured default-alpha 555 span: retail reuses dead argument slots for RGB steps and count with no local reservation; build reserves 8 FPO bytes and shifts stack homes. Endpoint walk and per-channel alpha blend agree. Far-endpoint, pairwise swap, retail-shaped saves, 16/32-bit pixel forms, and FIX-06 while form tested
0x004C5F00	CAP-20	30.77	2026-07-27	alternate-format twin of 0x004C5D80; same argument-slot/local-slot cap and blend core
0x004C4BE0	CAP-09	33.07	2026-07-27	textured additive 555 span: retail uses an EBP frame with four locals, homes UV/RGB steps and count in argument/local slots, and uses push/pop scratch in the blend; build uses FPO with three locals and register-keeps the walk. Endpoint order, UV conversion/clamps, texture sample/transparency test, LUT channel scaling, saturation, packing, and updates agree. Direct-index and MAKEWORD forms tested; MAKEWORD regressed to 29.61%
0x004C5060	CAP-09	33.07	2026-07-27	565 format twin of 0x004C4BE0; same EBP/FPO frame cascade and algorithm, with green/red destination shifts changed to 6/11
0x004C5280	CAP-09	38.40	2026-07-27	textured subtractive 555 span: retail uses an EBP frame with four locals, homes UV/RGB steps, subtotal, and count in argument/local slots, and uses push/pop scratch in the blend; build uses FPO with three locals and register-keeps the walk. Endpoint order, UV conversion/clamps, texture sample/transparency test, LUT channel subtraction, zero clamps, subtotal packing, and updates agree. Separate channel locals scored 30.03%; reused channel plus output subtotal scored 38.40%
0x004C56D0	CAP-09	38.50	2026-07-27	565 format twin of 0x004C5280; same EBP/FPO frame cascade and algorithm, with green/red destination shifts changed to 6/11
0x004C58E0	CAP-09	39.88	2026-07-27	textured colour-table conversion span: retail uses an EBP frame with three locals, homes RGB/UV steps and count in argument/local slots, and holds count with PUSH/POP; build uses FPO with two locals and register-keeps the walk. Endpoint order, UV conversion/clamps, transparent-texel test, three packed LUT channel lookups, destination store, and updates agree. Direct sum and staged uint16 subtotal both scored 39.88%; mutating the texel between lookups regressed to 39.76%
0x0047D210	CAP-09	24.14	2026-07-27	software back-buffer drain: retail uses an EBP 0x80-byte frame with the 0x6c DDSURFACEDESC plus five stack-resident clear-loop locals; build uses FPO with a 0x6c frame, keeps values in registers, and lowers natural inner fill loops to REP STOSD. Lock retry/error path, tint/format clear selection, deferred-clear state, 4096-bucket walk, flag dispatch, linked-list advance, unlock/error path, and presentation agree. Natural for-loop/common-callback form scored 24.14%; scalar do-loop/direct-call form scored 18.75%; forced shared locals 21.27%; helper calls 21.84%
0x00490290	CAP-21	80.18	2026-07-27	backdrop scroll: merged texture-column and clipped-top locals use opposite EAX/ECX scratch registers; branch arithmetic, wrap logic, global writes, guards, and return agree; 3 natural forms tested
0x0043BA80	CAP-09	61.46	2026-07-27	animation clip evaluation: retail reserves a 0x28-byte FPO frame and homes clip, loop, sample, and bone-index state differently; build reserves 0x20 bytes and uses a different callee-saved register order. Clip parsing, translation and rotation interpolation, Buzz offset, scale flags, and cleanup agree; 3 structural forms tested
0x004C4640	CAP-09	20.65	2026-07-28	pair-sampled textured span: retail uses an EBP frame and reuses argument slots for UV, RGB, and loop state. The build uses an FPO frame and different register homes. Edge order, UV clamps and steps, colour steps, one-sample pixel pairs, LUT conversion, and odd endpoints agree.
0x004C4370	CAP-09	20.65	2026-07-28	textured span: retail uses an EBP frame and reuses argument slots for UV, RGB, and loop state. The build uses an FPO frame and different register homes. Edge order, UV clamps and steps, colour steps, two texture samples per pixel pair, LUT conversion, and odd endpoints agree.
0x004C5AC0	CAP-22	19.76	2026-07-28	textured alpha-blend 555 span: retail reserves 20 FPO bytes and keeps the destination pointer in EBP. The build reserves 12 bytes and keeps it in ESI. Endpoint order, UV and colour steps, transparent-texel skip, source modulation, destination blend, saturation, and packing agree.
0x004C6080	CAP-22	18.93	2026-07-28	565 format twin of 0x004C5AC0. The frame and register difference is the same. The green and red extraction and packing shifts agree with the alternate surface format.
0x0047D120	CAP-09	20.34	2026-07-28	one-shot back-buffer clear: retail uses an EBP frame with five locals. The build uses an FPO frame and register-keeps the row state. Pixel format selection, signed division, scalar nested fills, row padding, completion flag, and pending-count update agree. A for-loop form scored 22.22% but emitted REP STOSD instead of the retail scalar loop.
0x0047D540	CAP-09	35.56	2026-07-28	32-bit rectangular fill: retail uses an EBP frame and saves the inner count with PUSH and POP. The build uses an FPO frame and keeps the row state in registers. Destination, dword width, height, byte padding, fill value, and scalar nested loops agree.
0x0047D4E0	CAP-09	13.04	2026-07-28	perspective divide table: retail uses an EBP frame and keeps the descending divisor as a scaled array index. The build uses an FPO frame and strength-reduces the loop to a reverse pointer. Half-scale, 12-bit fixed scale, divisors 32767 through 1, table stores, and return value agree. For and do-loop forms produced the same code.
0x004C0100	CAP-12	83.14	2026-07-28	triangle and quad viewport reject: retail places the shared reject return between the quad and triangle paths. The build places the accept and reject returns after both paths. Vertex loads, clip conversions, four plane tests, short-circuit order, supported counts, and return values agree. Early-reject and positive-intersection forms scored the same.
0x004DBB80	CAP-23	94.74	2026-07-28	FMV seek: instruction bytes match. reccmp resolves the 10000000 time-scale constant through different nearby data labels.
0x00414320	CAP-23	99.38	2026-07-28	level intro sprite slide: instruction bytes match. reccmp labels the retail sine-table displacement as an anonymous offset and the build displacement as g_sinCosLUT[1024].
0x004A4E60	CAP-23	96.00	2026-07-28	rocket boots deactivation: instruction bytes match. reccmp labels the one-past particle-array bound through different adjacent data symbols.
0x004A4D60	CAP-23	98.33	2026-07-28	rocket boots activation: instruction bytes match. reccmp labels the one-past particle-array bound through different adjacent data symbols.
0x004A4910	CAP-23	95.45	2026-07-28	disc ammo refresh: instruction bytes match. reccmp labels the one-past particle-array bound through different adjacent data symbols.
0x0042B090	CAP-03	82.03	2026-07-28	arena particle bounce: retail keeps the floor value in EBX and the shadow count in CX. The build uses volatile registers and spills the typed shadow index. Control flow, field access, calls, and side effects agree. Three natural forms were tested.
0x004946A0	CAP-24	56.00	2026-07-28	tiled sprite UVs: retail retains width and height on the x87 stack; build spills and reorders the four expressions; 4 credible forms tested
0x00494820	CAP-24	57.14	2026-07-28	virtual-width twin of 0x004946A0; same x87 evaluation and spill difference
0x0044EB90	CAP-03	36.48	2026-07-28	kite-tail draw: retail keeps tail-slot/texture/segment state in EBP/EBX/ESI/EDI; build changes the homes and reserves one extra packed-color slot; 3 structural forms tested
